TrackerID,FMSID,Title,Summary,CurrentPhase,DesignPercentComplete,ProcurementPercentComplete,ConstructionPercentComplete,DesignStart,DesignProjectedCompletion,DesignAdjustedCompletion,DesignActualCompletion,ProcurementStart,ProcurementProjectedCompletion,ProcurementAdjustedCompletion,ProcurementActualCompletion,ConstructionStart,ConstructionProjectedCompletion,ConstructionAdjustedCompletion,ConstructionActualCompletion,TotalFunding,ProjectLiaison,LastUpdated,FundingSource,name,ParkID,Latitude,Longitude,Borough
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,570,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,W 166 St bet Woodycrest Av & Nelson Av,X168,40.834805,-73.926879,"Bronx, Queens"
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,570,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,Rev James Polite Av to Interval Av bet E 167 St & Home St,X116,40.826811,-73.897461,"Bronx, Queens"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,East 135 Street between Madison & 5 Avenue,M193,40.812084,-73.936759,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"E. 23 St. To E. 25 St., FDR Drive",M164,40.735822,-73.975404,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,19 St. bet. Astoria Park S. and Ditmars Blvd.,Q004,40.779097,-73.923003,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,E. 54 St. between 1 Ave. and 2 Ave.,M130,40.756418,-73.965156,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"Fulton Avenue, Crotona Park North, South, East",X010,40.839896,-73.894642,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"West 59 Street, West 60 Street between Amsterdam Avenue and West End Avenue",M063,40.741792,-74.001833,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"W. 134 St., Lenox Terrace Pl.",M131,40.812917,-73.939415,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"West 155th & Dyckman Streets, Edgecombe & Amsterdam Avenues",M037,40.842495,-73.933588,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,85 Bradhurst Avenue,M014,40.82447,-73.942483,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"Marcy Av & Kosciuszko St, Dekalb & Nostrand",B351,40.691157,-73.949889,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"Madison Ave, E. 120 St. to E. 124 St.",M058,40.805316,-73.94334,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,Bedford Avenue between Metropolitan Avenue and North 1st Street,B085,40.715008,-73.960292,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"Lorraine, Clinton, Henry Streets",B126,40.672703,-74.003881,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"Troy Avenue, Bergen Street, Prospect Place, Schenectady Avenue",B245,40.673933,-73.93486,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"St. Mary's Street, St. Ann's Avenue, East 149 Street, Jackson Avenue",X045,40.812653,-73.913136,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"41 Street, 44 Street, between 5 Avenue and 7 Avenue",B087,40.648171,-74.003881,"Manhattan, Queens, Bronx, Brooklyn"
5055,846 P-6POOL11,Citywide Pool Structural Systems Reconstruction (CNYG-1011M),This project will reconstruct deteriorated structural systems at park and pool facilities citywide.,completed,100,100,100,01/01/2011 12:00:00 AM,,,03/01/2011 12:00:00 AM,03/01/2011 12:00:00 AM,11/01/2011 12:00:00 AM,,08/01/2013 12:00:00 AM,09/01/2013 12:00:00 AM,09/01/2016 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,"$2,419,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,E. 124 St. Bet 1 Ave. and 2 Ave.,M273,40.801956,-73.933281,"Manhattan, Queens, Bronx, Brooklyn"
8613,846 P-3CPI3AL,Abraham Lincoln Playground Reconstruction,This project will reconstruct Abraham Lincoln Playground.,completed,100,100,100,11/01/2016 12:00:00 AM,11/01/2017 12:00:00 AM,03/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,07/01/2019 12:00:00 AM,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,09/01/2021 12:00:00 AM,05/01/2022 12:00:00 AM,05/01/2022 12:00:00 AM,"$8,419,000",Steve Simon,09/22/2025 12:00:00 AM,Mayoral,Fifth Avenue and East 135th Street,M193,40.812116,-73.937167,Manhattan
8683,846 P-3CPI3A2,Abraham Lincoln Playground Public Restroom Building Reconstruction,This project will reconstruct the public restroom building in Abraham Lincoln Playground.,completed,100,100,100,02/01/2017 12:00:00 AM,02/01/2018 12:00:00 AM,,01/01/2018 12:00:00 AM,01/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,03/01/2019 12:00:00 AM,03/01/2019 12:00:00 AM,09/01/2019 12:00:00 AM,03/01/2021 12:00:00 AM,09/01/2021 12:00:00 AM,05/01/2022 12:00:00 AM,"$877,000",Steve Simon,09/22/2025 12:00:00 AM,Mayoral,Fifth Avenue and East 135th Street,M193,40.812231,-73.937409,Manhattan
10112,846 P-503AESP,Aesop Park Playground Reconstruction,"This project will reconstruct the playground, including play equipment and safety surface at Aesop Park.",construction,100,100,7.8,06/01/2022 12:00:00 AM,10/01/2023 12:00:00 AM,,11/01/2023 12:00:00 AM,11/01/2023 12:00:00 AM,11/01/2024 12:00:00 AM,07/01/2025 12:00:00 AM,05/01/2025 12:00:00 AM,06/01/2025 12:00:00 AM,06/01/2026 12:00:00 AM,,,"$6,640,000",Joseph Homsey,09/22/2025 12:00:00 AM,"Borough President, City Council",Page Avenue and Bartow Avenue,R027A,40.509553,-74.229863,Staten Island
4514,846 P-112AGNS,Agnes Haywood Playground Reconstruction,This project will reconstruct Agnes Haywood Playground.,completed,100,100,100,03/01/2015 12:00:00 AM,02/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,01/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,07/01/2017 12:00:00 AM,07/01/2018 12:00:00 AM,03/01/2019 12:00:00 AM,03/01/2019 12:00:00 AM,"$3,498,000",Katerine Borrome,09/22/2025 12:00:00 AM,Borough PresidentCity CouncilMayoral,Barnes Avenue between East 215th Street and East 216th Street,X169,40.88029556,-73.86181389,Bronx
10253,846 P-2BARRYP,Berry Playground Reconstruction,This project will reconstruct Berry Playground.,construction,100,100,65,06/01/2022 12:00:00 AM,06/01/2023 12:00:00 AM,,07/01/2023 12:00:00 AM,07/01/2023 12:00:00 AM,07/01/2024 12:00:00 AM,12/01/2024 12:00:00 AM,11/01/2024 12:00:00 AM,12/01/2024 12:00:00 AM,12/01/2025 12:00:00 AM,,,"$3,500,000",James Morris,09/22/2025 12:00:00 AM,Mayoral,"South 3rd Street, Berry Street and Bedford Avenue",B154,40.712715,-73.963572,Brooklyn
1135,846 P-102PL52,Kelly Playground Skate Park Reconstruction,This project will construct a skate park and reconstruct the amphitheater and basketball courts in Kelly Playground (PS 52).,completed,100,100,100,06/01/2011 12:00:00 AM,11/01/2013 12:00:00 AM,03/01/2015 12:00:00 AM,04/01/2015 12:00:00 AM,04/01/2015 12:00:00 AM,01/01/2016 12:00:00 AM,05/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,05/01/2016 12:00:00 AM,05/01/2018 12:00:00 AM,,07/01/2018 12:00:00 AM,"$2,887,000",Katerine Borrome,09/22/2025 12:00:00 AM,Borough PresidentCity CouncilMayoral,Avenue Saint John between Kelly and Beck Streets,X179,40.814855,-73.901789,Bronx
7030,846 P-6CPIBN4,"Hunts Point, Playground 52, Carmansville, MLK, and Sol Lain Playgrounds Public Restroom Building Reconstruction",This project will reconstruct public restroom buildings in various locations in the Bronx and Manhattan.,completed,100,100,100,02/01/2015 12:00:00 AM,02/01/2016 12:00:00 AM,,02/01/2016 12:00:00 AM,02/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,07/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,01/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,"$8,772,000",Contact Us,09/22/2025 12:00:00 AM,Mayoral,Kelly St bet Av St John & Leggett Av,X179,40.815368,-73.901116,BronxManhattan
7030,846 P-6CPIBN4,"Hunts Point, Playground 52, Carmansville, MLK, and Sol Lain Playgrounds Public Restroom Building Reconstruction",This project will reconstruct public restroom buildings in various locations in the Bronx and Manhattan.,completed,100,100,100,02/01/2015 12:00:00 AM,02/01/2016 12:00:00 AM,,02/01/2016 12:00:00 AM,02/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,07/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,01/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,"$8,772,000",Contact Us,09/22/2025 12:00:00 AM,Mayoral,"Amsterdam Av, W 151 St To W 152 St",M018,40.829056,-73.944274,BronxManhattan
7030,846 P-6CPIBN4,"Hunts Point, Playground 52, Carmansville, MLK, and Sol Lain Playgrounds Public Restroom Building Reconstruction",This project will reconstruct public restroom buildings in various locations in the Bronx and Manhattan.,completed,100,100,100,02/01/2015 12:00:00 AM,02/01/2016 12:00:00 AM,,02/01/2016 12:00:00 AM,02/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,07/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,01/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,"$8,772,000",Contact Us,09/22/2025 12:00:00 AM,Mayoral,Spofford Av bet Faile St & Hunts Point Av,X113,40.814122,-73.885877,BronxManhattan
7030,846 P-6CPIBN4,"Hunts Point, Playground 52, Carmansville, MLK, and Sol Lain Playgrounds Public Restroom Building Reconstruction",This project will reconstruct public restroom buildings in various locations in the Bronx and Manhattan.,completed,100,100,100,02/01/2015 12:00:00 AM,02/01/2016 12:00:00 AM,,02/01/2016 12:00:00 AM,02/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,07/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,01/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,"$8,772,000",Contact Us,09/22/2025 12:00:00 AM,Mayoral,"Lenox Ave, W. 113 St. To W. 114 St.",M198,40.800471,-73.950425,BronxManhattan
7030,846 P-6CPIBN4,"Hunts Point, Playground 52, Carmansville, MLK, and Sol Lain Playgrounds Public Restroom Building Reconstruction",This project will reconstruct public restroom buildings in various locations in the Bronx and Manhattan.,completed,100,100,100,02/01/2015 12:00:00 AM,02/01/2016 12:00:00 AM,,02/01/2016 12:00:00 AM,02/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,07/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,01/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,"$8,772,000",Contact Us,09/22/2025 12:00:00 AM,Mayoral,"Broadway, Henry St., Gouverneur St.",M235,40.714188,-73.984137,BronxManhattan
7053,846 P-1CPIP52,Playground 52 Reconstruction,"This project will reconstruct the play equipment, safety surface, spray shower, fence and landscaping at Playground 52.",completed,100,100,100,12/01/2014 12:00:00 AM,12/01/2015 12:00:00 AM,,12/01/2015 12:00:00 AM,12/01/2015 12:00:00 AM,09/01/2016 12:00:00 AM,02/01/2017 12:00:00 AM,01/01/2017 12:00:00 AM,03/01/2017 12:00:00 AM,03/01/2018 12:00:00 AM,,03/01/2018 12:00:00 AM,"$4,242,000",Katerine Borrome,09/22/2025 12:00:00 AM,Mayoral,Kelly Street Between Avenue Saint John and Leggett Street,X179,40.815413,-73.901113,Bronx
